date,volume_of_trades,strike,stock_close,stock_high,stock_low,stock_open,stock_traded_volume,divCash,expiration_date,options_close_price,options_volume,count,bid,bid_size,ask,ask_size,open_interest,delta,theta,vega,rho,epsilon,lambda,gamma,d1,d2,implied_vol,iv_error,expiration,realized_vol,realized_vol_diff_target,7_day_realized_vol_target,realized_vol_diff_bin_target,7_day_implied_vol_target,implied_vol_diff_target,implied_vol_diff_bin_target,options_close_price_7_days,options_7_day_diff,options_7_day_frac_diff,options_7_day_diff_bin,7_day_implied_7_day_forecasted_vol_diff,7_day_implied_7_day_forecasted_vol_diff_bin,current_implied_7_day_forecasted_vol_diff,current_implied_7_day_forecasted_vol_diff_bin,reported_estimate_eps_percent_diff,vix-open,vix-high,vix-low,vix-close,pos_em_count,neg_em_count,em_total_count,pos_nem_count,neu_em_count,neu_nem_count,neg_nem_count,nem_total_count,pos_total_count,neu_total_count,neg_total_count,total_count,article_sentiment,article_count,side_A,side_B,side_N,range_type_above_mean_range,range_type_below_mean_range,range_type_mean_range
2022-08-02,31757537256.0,115,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,2022-08-12,2.52,918.0,273.0,2.4,52.0,2.53,4.0,1146.0,0.5238,-0.1244,7.5888,1.5832,-1.6522,23.9271,0.0656,0.0597,0.007,0.3183,0.0001,10 days,0.4681549602089296,-0.0457606037495756,0.4223943564593539,-1,0.3715,0.0531999999999999,1,2.52,0.0,0.0,1,-0.0508943564593539,-1,-0.1040943564593539,-1,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,True,False,False,False,False,True
2022-08-02,31757537256.0,115,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,2022-08-19,3.2,1153.0,239.0,3.15,44.0,3.25,158.0,25789.0,0.5264,-0.0938,9.8905,2.6738,-2.8229,18.9401,0.0516,0.0663,-0.0006,0.3103,0.0,17 days,0.4681549602089296,-0.0457606037495756,0.4223943564593539,-1,0.3281,0.0177999999999999,1,3.45,0.25,0.078125,1,-0.0942943564593539,-1,-0.1120943564593539,-1,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,True,False,False,False,False,True
2022-08-02,31757537256.0,115,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,2022-08-26,3.9,44.0,17.0,3.65,4.0,3.85,4.0,847.0,0.5291,-0.0815,11.7461,3.7494,-4.0059,15.6204,0.0423,0.0731,-0.0085,0.3186,0.0,24 days,0.4681549602089296,-0.0457606037495756,0.4223943564593539,-1,0.293,-0.0256,-1,3.88,-0.02,-0.0051282051282051,-1,-0.129394356459354,-1,-0.1037943564593539,-1,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,True,False,False,False,False,True
2022-08-02,11907761568.0,114,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,2022-08-12,3.08,688.0,137.0,3.05,25.0,3.15,30.0,280.0,0.5885,-0.1232,7.4144,1.772,-1.8563,22.0037,0.0634,0.2237,0.1705,0.3215,-0.0001,10 days,0.4681549602089296,-0.0457606037495756,0.4223943564593539,-1,0.4033,0.0817999999999999,1,3.33,0.25,0.0811688311688311,1,-0.0190943564593539,-1,-0.1008943564593539,-1,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,True,False,False,False,True,False
2022-08-02,11907761568.0,114,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,2022-08-19,3.9,280.0,65.0,3.6,26.0,3.8,20.0,12816.0,0.5752,-0.0979,9.7355,2.9028,-3.0845,16.977,0.048,0.1897,0.1188,0.3283,0.0002,17 days,0.4681549602089296,-0.0457606037495756,0.4223943564593539,-1,0.3242,-0.0040999999999999,-1,4.05,0.1499999999999999,0.0384615384615384,1,-0.0981943564593539,-1,-0.0940943564593539,-1,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,True,False,False,False,True,False
2022-08-02,11907761568.0,114,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,2022-08-26,4.89,71.0,23.0,4.3,20.0,4.45,4.0,297.0,0.5673,-0.0907,11.6096,3.973,-4.2946,13.3558,0.037,0.1695,0.0773,0.3593,0.0,24 days,0.4681549602089296,-0.0457606037495756,0.4223943564593539,-1,0.3469,-0.0124,-1,4.99,0.1000000000000005,0.0204498977505113,1,-0.0754943564593539,-1,-0.0630943564593539,-1,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,True,False,False,False,True,False
2022-08-02,8040193544.0,116,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,2022-08-12,1.99,866.0,243.0,1.91,31.0,2.0,4.0,448.0,0.4567,-0.1204,7.5577,1.3861,-1.4407,26.4275,0.067,-0.1086,-0.1599,0.3103,0.0,10 days,0.4681549602089296,-0.0457606037495756,0.4223943564593539,-1,0.3642,0.0539,1,1.88,-0.1100000000000001,-0.0552763819095477,-1,-0.0581943564593539,-1,-0.1120943564593539,-1,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,True,False,False,True,False,False
2022-08-02,8040193544.0,116,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,2022-08-19,2.86,458.0,169.0,2.56,51.0,2.68,4.0,22202.0,0.477,-0.0975,9.8959,2.425,-2.5581,19.2082,0.0495,-0.0574,-0.1273,0.3237,-0.0001,17 days,0.4681549602089296,-0.0457606037495756,0.4223943564593539,-1,0.3142,-0.0095,-1,2.78,-0.08,-0.027972027972028,-1,-0.1081943564593539,-1,-0.0986943564593539,-1,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,True,False,False,True,False,False
2022-08-02,8040193544.0,116,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,2022-08-26,3.3,76.0,20.0,3.2,1.0,3.35,4.0,622.0,0.4853,-0.0788,11.7696,3.4572,-3.6741,16.9375,0.0438,-0.0367,-0.1156,0.3078,-0.0002,24 days,0.4681549602089296,-0.0457606037495756,0.4223943564593539,-1,0.3105,0.0026999999999999,1,3.5,0.2000000000000001,0.0606060606060606,1,-0.1118943564593539,-1,-0.1145943564593539,-1,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,True,False,False,True,False,False
2022-08-02,24279067135.0,115,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,2022-08-12,2.52,918.0,273.0,2.4,52.0,2.53,4.0,1146.0,0.5238,-0.1244,7.5888,1.5832,-1.6522,23.9271,0.0656,0.0597,0.007,0.3183,0.0001,10 days,0.4681549602089296,-0.0457606037495756,0.4223943564593539,-1,0.3715,0.0531999999999999,1,2.52,0.0,0.0,1,-0.0508943564593539,-1,-0.1040943564593539,-1,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,False,True,False,False,False,True
2022-08-02,24279067135.0,115,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,2022-08-19,3.2,1153.0,239.0,3.15,44.0,3.25,158.0,25789.0,0.5264,-0.0938,9.8905,2.6738,-2.8229,18.9401,0.0516,0.0663,-0.0006,0.3103,0.0,17 days,0.4681549602089296,-0.0457606037495756,0.4223943564593539,-1,0.3281,0.0177999999999999,1,3.45,0.25,0.078125,1,-0.0942943564593539,-1,-0.1120943564593539,-1,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,False,True,False,False,False,True
2022-08-02,24279067135.0,115,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,2022-08-26,3.9,44.0,17.0,3.65,4.0,3.85,4.0,847.0,0.5291,-0.0815,11.7461,3.7494,-4.0059,15.6204,0.0423,0.0731,-0.0085,0.3186,0.0,24 days,0.4681549602089296,-0.0457606037495756,0.4223943564593539,-1,0.293,-0.0256,-1,3.88,-0.02,-0.0051282051282051,-1,-0.129394356459354,-1,-0.1037943564593539,-1,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,False,True,False,False,False,True
2022-08-02,8502285265.0,114,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,2022-08-12,3.08,688.0,137.0,3.05,25.0,3.15,30.0,280.0,0.5885,-0.1232,7.4144,1.772,-1.8563,22.0037,0.0634,0.2237,0.1705,0.3215,-0.0001,10 days,0.4681549602089296,-0.0457606037495756,0.4223943564593539,-1,0.4033,0.0817999999999999,1,3.33,0.25,0.0811688311688311,1,-0.0190943564593539,-1,-0.1008943564593539,-1,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,False,True,False,False,True,False
2022-08-02,8502285265.0,114,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,2022-08-19,3.9,280.0,65.0,3.6,26.0,3.8,20.0,12816.0,0.5752,-0.0979,9.7355,2.9028,-3.0845,16.977,0.048,0.1897,0.1188,0.3283,0.0002,17 days,0.4681549602089296,-0.0457606037495756,0.4223943564593539,-1,0.3242,-0.0040999999999999,-1,4.05,0.1499999999999999,0.0384615384615384,1,-0.0981943564593539,-1,-0.0940943564593539,-1,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,False,True,False,False,True,False
2022-08-02,8502285265.0,114,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,2022-08-26,4.89,71.0,23.0,4.3,20.0,4.45,4.0,297.0,0.5673,-0.0907,11.6096,3.973,-4.2946,13.3558,0.037,0.1695,0.0773,0.3593,0.0,24 days,0.4681549602089296,-0.0457606037495756,0.4223943564593539,-1,0.3469,-0.0124,-1,4.99,0.1000000000000005,0.0204498977505113,1,-0.0754943564593539,-1,-0.0630943564593539,-1,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,False,True,False,False,True,False
2022-08-02,6052756165.0,116,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,2022-08-12,1.99,866.0,243.0,1.91,31.0,2.0,4.0,448.0,0.4567,-0.1204,7.5577,1.3861,-1.4407,26.4275,0.067,-0.1086,-0.1599,0.3103,0.0,10 days,0.4681549602089296,-0.0457606037495756,0.4223943564593539,-1,0.3642,0.0539,1,1.88,-0.1100000000000001,-0.0552763819095477,-1,-0.0581943564593539,-1,-0.1120943564593539,-1,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,False,True,False,True,False,False
2022-08-02,6052756165.0,116,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,2022-08-19,2.86,458.0,169.0,2.56,51.0,2.68,4.0,22202.0,0.477,-0.0975,9.8959,2.425,-2.5581,19.2082,0.0495,-0.0574,-0.1273,0.3237,-0.0001,17 days,0.4681549602089296,-0.0457606037495756,0.4223943564593539,-1,0.3142,-0.0095,-1,2.78,-0.08,-0.027972027972028,-1,-0.1081943564593539,-1,-0.0986943564593539,-1,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,False,True,False,True,False,False
2022-08-02,6052756165.0,116,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,2022-08-26,3.3,76.0,20.0,3.2,1.0,3.35,4.0,622.0,0.4853,-0.0788,11.7696,3.4572,-3.6741,16.9375,0.0438,-0.0367,-0.1156,0.3078,-0.0002,24 days,0.4681549602089296,-0.0457606037495756,0.4223943564593539,-1,0.3105,0.0026999999999999,1,3.5,0.2000000000000001,0.0606060606060606,1,-0.1118943564593539,-1,-0.1145943564593539,-1,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,False,True,False,True,False,False
2022-08-02,33939383296.0,115,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,2022-08-12,2.52,918.0,273.0,2.4,52.0,2.53,4.0,1146.0,0.5238,-0.1244,7.5888,1.5832,-1.6522,23.9271,0.0656,0.0597,0.007,0.3183,0.0001,10 days,0.4681549602089296,-0.0457606037495756,0.4223943564593539,-1,0.3715,0.0531999999999999,1,2.52,0.0,0.0,1,-0.0508943564593539,-1,-0.1040943564593539,-1,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,False,False,True,False,False,True
2022-08-02,33939383296.0,115,114.7133024383,115.9288868123,113.3084057438,113.5873923214,20236029,0.0,2022-08-19,3.2,1153.0,239.0,3.15,44.0,3.25,158.0,25789.0,0.5264,-0.0938,9.8905,2.6738,-2.8229,18.9401,0.0516,0.0663,-0.0006,0.3103,0.0,17 days,0.4681549602089296,-0.0457606037495756,0.4223943564593539,-1,0.3281,0.0177999999999999,1,3.45,0.25,0.078125,1,-0.0942943564593539,-1,-0.1120943564593539,-1,0.0,24.08,24.68,22.67,23.93,86.0,61.0,181.0,272.0,34.0,68.0,130.0,470.0,358.0,102.0,191.0,651.0,0.0,0.0,False,False,True,False,False,True
